ABS,Fa 6 setm. (11/06-17/06),Fa 5 setm. (18/06-24/06),Fa 4 setm. (25/06-01/07),Fa 3 setm. (02/07-08/07),Penúltima setm. (09/07-15/07),Última setm. (16/07-22/07),"Taxa Últ. set./
100.000hab","Taxa Últ. 14d/
100.000hab",R empírica 7 dies,Risc Rebrot,Últ. 3 dies,Total positius,Població
LLORET DE MAR,15,14,42,271,455,323,812.1,1956.2,0.71,1388.7,66,2462,39771
TERRASSA E - Rambla,16,24,94,258,337,288,459,996.1,0.85,851.3,109,4082,62745
BLANES,8,22,36,199,371,282,732.4,1696,0.76,1289.2,63,1744,38502
BARCELONA 10-A - Vila Olímpica,26,50,169,308,356,274,764.2,1757.2,0.77,1352.4,45,2533,35853
L'HOSPITALET DE LLOBREGAT 4 TORRASSA,17,24,54,177,269,269,1007.9,2015.7,1,2015.7,78,3617,26690
FIGUERES,6,20,29,75,179,262,534.8,900.2,1.46,1317.6,70,3363,48988
CASTELLDEFELS-1,13,14,87,218,285,258,702.3,1478.2,0.91,1338.2,57,2293,36734
TERRASSA F - Nord,20,18,92,196,272,252,596.5,1240.3,0.93,1149.1,50,3448,42247
L'HOSPITALET DE LLOBREGAT 9-PUBILLA C.,14,20,67,151,273,251,854.8,1784.6,0.92,1640.7,62,3267,29363
BARCELONA 9-C - Congrés,12,30,78,210,282,249,719.6,1534.5,0.88,1354.9,51,2515,34604
CORNELLÀ DE LLOBREGAT 1,15,35,102,231,249,246,754.1,1517.4,0.99,1499.1,49,2393,32622
BARCELONA 1-D - Raval Sud,16,31,95,238,271,244,848.9,1791.8,0.9,1613.3,73,2809,28742
BARCELONA 8-L - Prosperitat-Verdum,29,45,111,164,243,234,795.5,1621.7,0.96,1561.6,59,2381,29414
BARCELONA 5-E - Sant Gervasi,16,53,218,300,331,229,675.3,1651.3,0.69,1142.4,23,2812,33913
L'HOSPITALET DE LLOBREGAT 7-FLORIDA N.,18,15,41,129,205,225,1031.5,1971.4,1.1,2163.7,52,2668,21812
BARCELONA 9-A - Sagrera,13,34,99,246,263,224,657,1428.4,0.85,1216.6,43,2605,34094
BARCELONA 2-C - Esq.Eix.-Comte Borrell,21,55,163,285,283,223,719.8,1633.2,0.79,1286.9,35,2218,30982
CANET DE MAR,5,4,40,115,208,222,965.6,1870.2,1.07,1996.1,63,1314,22992
BARCELONA 3-A - Les Hortes-Poble Sec,16,24,63,267,269,221,904.5,2005.4,0.82,1647.6,47,2247,24434
CAMBRILS,11,18,47,207,200,218,652.6,1251.3,1.09,1363.9,47,2168,33406
BARCELONA 3-D - Bordeta,19,21,90,227,309,216,699.5,1700.2,0.7,1188.5,39,2200,30879
BARCELONA 2-A - Sant Antoni,18,45,138,293,348,215,643.9,1686.2,0.62,1041.8,51,2388,33389
PALAMÓS,6,5,44,136,219,213,740.3,1501.5,0.97,1460.4,52,2021,28771
TERRASSA A - Sant Llàtzer,10,8,80,185,264,212,510.8,1146.8,0.8,921,53,3323,41505
SANT CUGAT DEL VALLÈS-2,10,32,145,272,280,212,668.3,1551.1,0.76,1174.4,45,2142,31720
SALT,21,17,47,135,211,210,496.3,994.9,1,990.2,52,3909,42314
BARCELONA 1-E - Raval Nord-Dr. Sayé,16,28,85,209,264,209,982.2,2223,0.79,1759.8,53,1961,21278
BARCELONA 2-J - Monumental,16,32,130,249,332,209,771.1,1996,0.63,1256.5,30,2167,27104
BARCELONA 6-A - Joanic,15,33,117,276,299,205,681.2,1674.6,0.69,1148.2,46,1906,30096
BARCELONA 1-B - Casc Antic,14,35,104,335,322,204,931.2,2401.1,0.63,1521.2,57,1683,21907
MONTCADA I REIXAC,17,20,85,182,247,204,590.5,1305.5,0.83,1078.2,43,2526,34546
PREMIÀ DE MAR,5,25,79,186,206,203,530.8,1069.5,0.99,1054,47,2287,38241
SANT BOI DE LLOBREGAT 1,14,32,92,244,234,203,523.7,1127.5,0.87,978.1,62,2496,38760
GRANOLLERS 3 - CENTRE EST,10,9,60,172,203,203,697.3,1394.6,1,1394.6,58,2382,29112
GIRONA 3,25,19,120,215,237,202,565.2,1228.3,0.85,1046.9,46,2516,35740
L'HOSPITALET DE LLOBREGAT 8-FLORIDA S.,24,15,56,110,190,201,880,1711.8,1.06,1810.9,63,2593,22842
BARCELONA 7-G - Guinardó,16,18,109,278,255,201,628.8,1426.5,0.79,1124.4,36,2281,31966
RUBÍ 2,5,25,40,126,187,200,501.6,970.6,1.07,1038,38,2482,39874
BARCELONA 5-B - Sant Elies,19,52,225,361,278,199,569.9,1365.9,0.72,977.8,32,2736,34921
BARCELONA 2-E - Esq.Eix.-Casanova,24,33,152,316,323,198,602.2,1584.7,0.61,971.4,37,2206,32877
BARCELONA 10-D - Besòs,21,30,62,156,204,197,724.4,1474.5,0.97,1423.9,53,1905,27196
BARCELONA 6-B - Vila de Gràcia,18,33,117,272,279,196,759.5,1840.6,0.7,1293,38,2040,25807
CASTELLDEFELS-2,16,17,102,166,237,195,697,1544.2,0.82,1270.5,49,1873,27976
EL VENDRELL,20,13,71,146,215,192,411.1,871.4,0.89,778.1,41,2041,46709
BARCELONA 10-B - Ramon Turró,23,38,108,226,272,192,666.6,1611,0.71,1137.2,39,1697,28802
L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,18,13,74,146,225,191,754.3,1642.9,0.85,1394.6,50,3011,25321
SANT CUGAT DEL VALLÈS-1,13,14,93,265,239,191,619,1393.5,0.8,1113.7,72,1972,30857
SANT FELIU DE GUÍXOLS,14,12,65,269,245,190,535,1224.9,0.78,949.9,51,2095,35514
L'HOSPITALET DE LLOBREGAT 1 - CENTRE,5,9,40,151,186,189,653.9,1297.4,1.02,1318.4,40,2009,28903
BARCELONA 9-H - CAP Sant Andreu,9,19,73,164,204,189,612.2,1273,0.93,1179.4,33,1662,30872
PALAFRUGELL,5,9,30,115,221,188,614.6,1337.1,0.85,1137.4,29,2460,30589
CORNELLÀ DE LLOBREGAT 2,11,13,41,128,169,187,727.1,1384.2,1.11,1531.6,52,2077,25719
PLA D'URGELL,1,10,30,101,162,187,496.6,926.9,1.15,1069.9,48,2846,37654
EL PRAT DE LLOBREGAT 2,23,21,57,170,150,187,626.1,1128.3,1.25,1406.6,45,1688,29869
BARCELONA 7-E - Sant Rafael,10,24,68,201,216,186,608.1,1314.4,0.86,1131.8,41,2847,30585
BARCELONA 7-D - Lisboa,15,16,55,178,204,185,667.9,1404.4,0.91,1273.6,40,2015,27698
REUS 5,9,11,63,187,226,184,667.8,1488.1,0.81,1211.5,52,2962,27552
GRANOLLERS 2 - NORD,10,14,80,171,175,183,611.7,1196.7,1.05,1251.4,43,2599,29916
SABADELL 1A - Centre,19,24,125,188,217,182,539.9,1183.6,0.84,992.7,34,2197,33710
TERRASSA D - Oest,11,13,48,134,190,180,547.2,1124.9,0.95,1065.7,57,2312,32893
BARCELONA 2-B - Via Roma,19,30,159,285,284,179,596.4,1542.7,0.63,972.3,39,2140,30013
RUBÍ 1,15,20,53,138,186,178,566.9,1159.3,0.96,1109.4,62,2240,31399
MALGRAT DE MAR,15,13,31,131,254,177,648.9,1580.2,0.7,1101.2,57,1253,27275
BARCELONA 3-I - Badal,14,9,84,199,234,177,683.3,1586.7,0.76,1200.2,38,1892,25903
BARCELONA 6-C - Lesseps,11,26,99,178,175,176,837.2,1669.6,1.01,1679.1,31,1474,21023
SALOU,23,15,39,214,284,176,677.6,1770.9,0.62,1097.5,41,1504,25975
PENEDÈS RURAL,9,13,59,217,193,174,519.3,1095.3,0.9,987.5,46,1884,33506
BARCELONA 8-C - Turó de la Piera,17,24,48,128,189,173,703.8,1472.7,0.92,1348,34,2102,24581
BARCELONA 4-A - Montnegre,13,18,72,205,183,172,609.2,1257.4,0.94,1181.9,31,2212,28232
SABADELL 6 - Sud,10,5,60,171,215,172,565.1,1271.4,0.8,1017.1,36,2516,30438
BADALONA 6 - Llefià,10,24,50,123,158,172,710.7,1363.6,1.09,1484.5,50,2212,24200
BARCELONA 4-C - Les Corts-Helios,22,37,142,215,241,170,552.6,1336.1,0.71,942.5,38,1943,30762
CASTELLAR DEL VALLÈS,8,10,43,109,151,170,655.3,1237.4,1.13,1393.1,44,1632,25941
SANT CUGAT DEL VALLÈS-3,13,24,127,211,266,170,667.9,1713,0.64,1094.7,49,1822,25453
SANT CELONI,7,23,97,153,174,169,482.7,979.7,0.97,951.6,23,2048,35010
BADALONA 11 - Bufalà-Canyet,12,26,75,149,206,168,727.1,1618.7,0.82,1320.1,39,1819,23105
BARCELONA 2-K - Sagrada Família,14,23,100,225,238,166,650.7,1583.6,0.7,1104.5,32,2249,25512
SANT ANDREU DE LA BARCA,23,22,40,148,172,166,593.5,1208.5,0.97,1166.4,47,2280,27968
BARCELONA 10-F - Camp de l'Arpa,10,17,67,197,199,165,683.2,1507.2,0.83,1249.7,30,1724,24151
REUS 4,9,7,34,100,140,165,773.4,1429.6,1.18,1684.9,45,1496,21334
TERRASSA B - Est,8,10,29,113,181,164,601.3,1264.9,0.91,1146.1,35,2380,27274
BARCELONA 1-A - Barceloneta,9,18,89,216,195,162,1140.2,2512.7,0.83,2087.4,28,1166,14208
BARCELONA 3-B - Poble Sec - Montjuïc,18,33,70,163,223,162,657.5,1562.6,0.73,1135.2,38,2029,24638
TORREDEMBARRA,7,9,35,170,175,161,448.3,935.6,0.92,860.8,36,1556,35912
SANTA COLOMA DE GRAMENET 6,4,11,31,79,118,161,780.7,1352.9,1.36,1845.9,46,1806,20622
VALL DEL TENES,14,20,77,215,207,160,435.5,999,0.77,772.2,22,2189,36736
MONTORNÈS / MONTMELÓ,14,12,97,215,227,159,484.2,1175.5,0.7,823.4,45,2168,32837
BARCELONA 5-C - Sarrià,20,56,219,269,217,158,585.7,1390.1,0.73,1012.2,30,2128,26976
BARCELONA 2-H - Passeig St. Joan,25,27,116,249,249,156,601.2,1560.9,0.63,977.9,39,2155,25946
BARCELONA 1-C - Gòtic,16,25,93,251,202,155,1069.9,2464.1,0.77,1890.8,28,1007,14488
SANTA COLOMA DE GRAMENET 5,13,15,38,115,126,155,741.6,1344.4,1.23,1653.8,56,1991,20902
TERRASSA-G - Sud,6,4,28,81,161,155,620.5,1265,0.96,1217.9,53,1632,24980
BARCELONA 6-D - Vallcarca,9,16,58,137,211,154,720.4,1707.4,0.73,1246.2,23,1561,21377
BARCELONA 7-C - El Carmel,9,13,49,113,160,154,796.1,1623.2,0.96,1562.4,36,1405,19344
ARENYS DE MAR,11,9,55,180,157,153,635.5,1287.6,0.97,1254.8,42,1606,24075
BARCELONA 8-I - Xafarines,6,14,43,110,142,153,841.4,1622.3,1.08,1748,41,1605,18184
BARCELONA 6-E - La Salut,6,23,59,192,183,153,657.3,1443.5,0.84,1206.9,36,1428,23276
VILANOVA I LA GELTRÚ 2,6,23,35,119,133,152,636.6,1193.7,1.14,1364.2,34,1289,23876
BADALONA 7A - Gran Sol,12,12,53,77,112,152,783.5,1360.8,1.36,1846.7,38,1711,19401
BARCELONA 7-A - Sanllehy,5,16,61,131,175,151,702.2,1516,0.86,1308.1,29,1820,21504
LA SEU D'URGELL,2,3,11,53,123,151,929.3,1686.3,1.23,2070.1,38,1276,16249
TARRAGONA 3,11,17,55,128,159,151,497.1,1020.5,0.95,969.2,45,1270,30377
BARBERÀ DEL VALLÈS,15,12,86,150,177,151,461.9,1003.2,0.85,855.9,39,2164,32694
MARTORELL RURAL,13,17,29,110,136,151,547.7,1041.1,1.11,1155.9,47,1868,27568
BARCELONA 8J - Cotxeres,5,15,57,181,189,151,612.6,1379.4,0.8,1102,37,2461,24649
TARRAGONA 2,32,28,40,125,157,150,538.5,1102.2,0.96,1053,36,1433,27854
BARCELONA 8-F - Guineueta,22,18,72,147,180,149,582.3,1285.7,0.83,1064.3,32,1614,25589
GAVÀ 2,12,16,56,149,186,149,571.6,1285.2,0.8,1029.5,38,1541,26066
SANT FELIU DE LLOBREGAT 2,25,23,47,144,180,149,566.5,1250.8,0.83,1035.4,47,1521,26304
MOLLET DEL VALLÈS-EST,10,2,64,157,161,149,520.2,1082.3,0.93,1001.7,43,2280,28642
BARCELONA 9-I - CAP Casernes,11,16,76,133,180,149,611.7,1350.7,0.83,1118.1,27,1891,24357
BARCELONA 2-G - Dreta Eixample,14,25,115,214,212,147,681.2,1663.6,0.69,1153.5,26,1794,21580
ESPLUGUES DE LLOBREGAT 2,18,23,101,232,191,147,511.1,1175.2,0.77,904.4,32,1965,28762
L'HOSPITALET DE LLOBREGAT 6-S.EULÀLIA S.,10,18,47,128,176,147,631.5,1387.6,0.84,1159,42,1851,23277
REUS 2,3,18,44,194,189,147,544.8,1245.4,0.78,968.6,38,1895,26980
CUBELLES-CUNIT,7,15,55,156,188,147,555.8,1266.6,0.78,990.4,32,1589,26449
BARCELONA 5-A - Marc Aureli,24,49,204,267,236,146,515.3,1348.3,0.62,834.1,30,2355,28332
BARCELONA 10-C - Poble Nou,11,20,64,180,197,145,628.1,1481.5,0.74,1090.5,35,1434,23084
BARCELONA 2-D - Universitat,13,24,110,223,222,143,756.7,1931.3,0.64,1244,30,1486,18899
GIRONA 2,15,11,63,129,165,143,444.4,957.1,0.87,829.5,57,2644,32180
VALLS URBÀ,14,18,22,115,137,143,526,1029.9,1.04,1075,42,1159,27188
VILA-SECA,13,11,13,84,133,142,651.6,1261.9,1.07,1347.3,29,1054,21793
MOLLET DEL VALLÈS-2 OEST,5,8,45,128,146,142,602.6,1222.2,0.97,1188.7,29,1963,23565
BARCELONA 10-G - El Clot,11,19,74,208,211,141,582.5,1454.3,0.67,971.8,42,1615,24204
PINEDA,9,5,34,149,231,141,475.1,1253.5,0.61,765.1,32,1501,29677
SANTA PERPÈTUA DE LA MOGODA,21,17,89,130,153,140,553.4,1158.1,0.92,1059.7,38,1606,25300
BADALONA 5 - Sant Roc,3,3,18,65,126,140,740.3,1406.5,1.11,1562.8,51,2242,18912
BARCELONA 7-B - Sardenya,7,16,36,109,173,138,729.4,1643.9,0.8,1311.3,15,1781,18919
BARCELONA 3-G - Numància,12,34,104,174,224,137,598.1,1576,0.61,963.9,32,1706,22906
CARDEDEU,5,11,59,118,140,137,642.4,1298.8,0.98,1271,17,1326,21327
LA GARRIGA,13,10,90,172,119,137,475.2,887.9,1.15,1022.2,44,2003,28831
EL MASNOU-ALELLA,8,20,83,161,177,137,571.9,1310.8,0.77,1014.6,35,1664,23954
BARCELONA 2-I - Sagrada Família,7,20,73,212,205,136,666.1,1670.3,0.66,1108.1,24,1855,20416
CASSÀ DE LA SELVA,23,23,35,173,208,136,422.1,1067.6,0.65,698,47,1957,32222
ALT MOGENT,4,6,39,113,122,136,659.5,1251,1.11,1394.6,28,1490,20623
SABADELL 2 - Creu Alta,9,6,49,124,152,135,551.3,1172,0.89,1040.9,23,1801,24488
GRANOLLERS 1 -OEST,5,9,40,147,141,135,592.2,1210.7,0.96,1159.2,29,2329,22796
L'HOSPITALET DE LLOBREGAT 5-S.EULÀLIA N.,11,12,45,132,161,134,671.4,1478.1,0.83,1230.2,29,1378,19958
L'HOSPITALET DE LLOBREGAT 12 (BELLVITGE),14,18,34,99,161,134,526.5,1159,0.83,964.6,48,1995,25453
VILASSAR DE MAR,8,5,192,207,176,133,528.8,1228.6,0.76,928.4,30,1477,25151
EL PRAT DE LLOBREGAT 1,10,12,42,113,141,132,614,1269.9,0.94,1188.8,22,1244,21498
MARTORELL,14,9,58,94,130,131,452.1,900.7,1.01,907.6,50,2387,28978
VILADECANS 1,7,9,40,137,144,131,548.4,1151.3,0.91,1047.4,41,1436,23886
BARCELONA 8-K - Porta,7,14,48,112,163,131,736,1651.7,0.8,1327.4,37,1519,17800
BARCELONA 8-G - Roquetes,10,14,51,122,148,130,776.4,1660.3,0.88,1458.4,40,1696,16744
ROSES,4,12,27,88,186,130,398.2,968,0.7,676.6,35,1686,32645
BARCELONA 4-B - Les Corts-Pedralbes,16,38,105,158,130,129,596.5,1197.7,0.99,1188.5,25,1584,21625
SANT VICENÇ DELS HORTS-1,8,21,50,112,120,129,606.8,1171.3,1.07,1259.1,25,1125,21259
BANYOLES,7,22,76,101,120,128,398.7,772.6,1.07,824.1,29,2197,32101
ESPARRAGUERA,16,2,33,115,127,128,463.7,923.8,1.01,931.1,56,1719,27604
L'HOSPITALET DE LLOBREGAT 2 -S.JOSEP,4,14,55,140,130,127,554.9,1123,0.98,1097.1,38,1823,22885
CERDANYOLA DEL VALLÈS 2,8,14,54,81,121,125,518.8,1020.9,1.03,1054.7,36,1651,24096
CALDES DE MONTBUI,38,21,72,125,140,124,527.1,1122.1,0.89,993.9,24,1815,23527
BALAGUER,5,8,31,55,133,122,437.4,914.3,0.92,838.7,41,2576,27891
VILADECANS 2,8,18,40,132,136,122,544.6,1151.8,0.9,1033.2,36,1463,22400
SABADELL 4-B - Can Rull,10,3,59,111,111,122,507.9,970,1.1,1066.2,25,2085,24020
SABADELL 3A - Ca n'Oriach,3,8,35,64,99,121,613.5,1115.4,1.22,1363.3,36,1727,19723
BADALONA 7B - La Salut,9,10,43,94,113,121,614.4,1188.2,1.07,1272.4,38,1862,19693
SANT QUIRZE DEL VALLÈS,3,16,44,129,152,121,671.7,1515.4,0.8,1206.3,16,1300,18015
BARCELONA 3-E - Sants,5,24,72,193,202,120,559.6,1501.6,0.59,892,31,1581,21444
NAVARCLES - SANT FRUITÓS DE BAGES,3,1,20,92,72,120,517.6,828.2,1.67,1380.3,22,1799,23184
VILANOVA I LA GELTRÚ 1,13,16,22,150,169,120,496.9,1196.7,0.71,849.7,21,1274,24150
SILS/VIDRERES/MAÇANET DE LA SELVA,2,8,14,68,117,119,528.2,1047.4,1.02,1065.4,37,1052,22531
BARCELONA 10-J - Verneda Sud,12,12,52,144,150,119,525.2,1187.3,0.79,941.9,29,1623,22656
SANT ADRIÀ DEL BESÒS 2,7,10,31,103,121,117,720.4,1465.5,0.97,1417.1,26,1313,16240
RIPOLLET-1,19,13,28,78,80,117,657.5,1107.1,1.46,1619.1,32,1266,17795
TARRAGONA 1,11,9,16,68,106,116,787.6,1507.2,1.09,1649.4,27,758,14729
VILAFRANCA DEL PENEDÈS 1,5,6,34,102,146,116,584.6,1320.3,0.79,1049,34,1265,19844
VILADECANS 3,7,4,60,121,132,115,491.7,1056.1,0.87,920.1,42,1682,23388
MOLINS DE REI,5,15,103,180,155,114,385.5,909.6,0.74,669,37,1736,29574
OLOT,17,12,77,126,128,113,291.3,621.2,0.88,548.4,28,3226,38798
